                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7126,                 3.1195,                 1.5838,                0.08763,                0.41298,                0.07041,                0.03361,                 1.7622,                 8.7688,                  1.793,             0.00048343,             0.00048343,             0.00048343
                      2,                 1.6419,                 1.9244,                 1.4973,                0.01647,                0.25889,                0.00741,                0.00317,                 2.5747,                    inf,                 7.7832,             0.00097379,             0.00097379,             0.00097379
                      3,                  1.582,                  1.818,                 1.5046,                0.00357,                0.18047,                0.00354,                0.00148,                 2.3843,                    inf,                 3.3311,              0.0014543,              0.0014543,              0.0014543
                      4,                  1.599,                  1.724,                 1.5245,                0.00149,                0.15879,                0.00087,                0.00038,                 3.7916,                    inf,                 10.433,              0.0016175,              0.0016175,              0.0016175
                      5,                 1.5542,                 1.5821,                 1.5078,                0.05223,                0.13643,                0.02063,                0.00575,                 3.2601,                 6.0701,                 3.6328,               0.001601,               0.001601,               0.001601
                      6,                 1.5707,                 1.5705,                 1.5466,                 0.3218,                0.41233,                0.29544,                0.14491,                 1.8493,                  2.524,                 2.0193,              0.0015845,              0.0015845,              0.0015845
                      7,                 1.5298,                 1.4729,                 1.5065,                0.38581,                0.36458,                0.30629,                0.14933,                 1.7541,                 2.5649,                 1.8707,               0.001568,               0.001568,               0.001568
                      8,                 1.4984,                 1.4813,                 1.4592,                0.48513,                0.31889,                0.33301,                0.15913,                 2.1418,                 2.8574,                 2.0804,              0.0015515,              0.0015515,              0.0015515
                      9,                  1.503,                 1.4218,                 1.4433,                0.60129,                0.46495,                0.49018,                0.24381,                 1.7047,                 2.1529,                 1.7583,               0.001535,               0.001535,               0.001535
                     10,                  1.438,                 1.3935,                 1.4312,                0.42681,                0.57725,                0.51929,                0.27399,                 1.6155,                 2.0185,                 1.7295,              0.0015185,              0.0015185,              0.0015185
                     11,                 1.4362,                 1.2891,                 1.4008,                0.58084,                0.45802,                0.49673,                0.25485,                 1.6295,                 1.9299,                 1.6523,               0.001502,               0.001502,               0.001502
                     12,                 1.4286,                 1.3107,                 1.3989,                0.64892,                0.57552,                0.59852,                0.32968,                 1.5501,                 1.5524,                  1.619,              0.0014855,              0.0014855,              0.0014855
                     13,                 1.4133,                 1.2794,                 1.3967,                0.59215,                0.61777,                0.55072,                0.30259,                 1.5279,                 1.5863,                 1.6663,               0.001469,               0.001469,               0.001469
                     14,                 1.4126,                 1.2642,                 1.3914,                0.62132,                0.50693,                0.56581,                0.30767,                 1.5356,                 1.5471,                 1.5917,              0.0014525,              0.0014525,              0.0014525
                     15,                 1.3732,                 1.1767,                 1.3593,                0.57055,                0.60745,                 0.6011,                0.32609,                 1.6446,                  1.382,                  1.637,               0.001436,               0.001436,               0.001436
                     16,                 1.4253,                 1.1958,                 1.4041,                0.55743,                0.61542,                0.58794,                0.32672,                 1.5526,                  1.354,                 1.6377,              0.0014195,              0.0014195,              0.0014195
                     17,                 1.3775,                 1.2044,                 1.3794,                0.62738,                0.59127,                0.59551,                0.33264,                 1.5583,                 1.9001,                 1.5817,              0.0014029,              0.0014029,              0.0014029
                     18,                 1.3842,                 1.1431,                 1.3816,                0.64745,                  0.646,                0.63051,                0.34498,                 1.4995,                 1.3499,                 1.5833,              0.0013864,              0.0013864,              0.0013864
                     19,                 1.3965,                 1.0813,                 1.3888,                0.57827,                0.68748,                0.62345,                0.35012,                 1.5452,                 1.2674,                 1.6294,              0.0013699,              0.0013699,              0.0013699
                     20,                 1.3695,                 1.1351,                 1.3532,                0.55341,                0.68463,                0.61677,                0.32731,                 1.5708,                 1.3909,                 1.6143,              0.0013534,              0.0013534,              0.0013534
                     21,                 1.3724,                 1.0832,                 1.3829,                0.60703,                0.59311,                0.58645,                0.32511,                 1.5993,                 1.3993,                 1.6629,              0.0013369,              0.0013369,              0.0013369
                     22,                  1.336,                 1.0689,                 1.3459,                0.64149,                0.60438,                0.63038,                0.34257,                  1.558,                 1.3432,                 1.6281,              0.0013204,              0.0013204,              0.0013204
                     23,                 1.3845,                 1.0149,                 1.3719,                0.55269,                0.62183,                0.56117,                0.30282,                 1.5659,                  1.411,                 1.6285,              0.0013039,              0.0013039,              0.0013039
                     24,                 1.3493,                 1.0791,                 1.3713,                0.61057,                0.61776,                0.63305,                 0.3577,                 1.5296,                 1.2493,                 1.6121,              0.0012874,              0.0012874,              0.0012874
                     25,                 1.3163,                 1.0365,                 1.3432,                 0.5981,                0.60827,                0.60498,                0.33415,                 1.5756,                 1.3605,                 1.6881,              0.0012709,              0.0012709,              0.0012709
                     26,                 1.2962,                 1.0117,                   1.32,                0.59525,                0.60977,                0.58984,                  0.316,                 1.6302,                 1.2871,                 1.6562,              0.0012544,              0.0012544,              0.0012544
                     27,                 1.2666,                0.98658,                 1.3085,                0.64291,                0.65587,                0.65297,                0.37272,                 1.5176,                 1.2412,                 1.5816,              0.0012379,              0.0012379,              0.0012379
                     28,                 1.2603,                0.92554,                 1.3071,                0.62909,                0.69632,                0.66194,                0.36409,                 1.4934,                 1.2175,                 1.5808,              0.0012214,              0.0012214,              0.0012214
                     29,                 1.2377,                0.95054,                 1.2966,                0.71851,                0.68332,                0.66514,                0.34889,                 1.5576,                 1.1135,                 1.6332,              0.0012049,              0.0012049,              0.0012049
                     30,                 1.2387,                0.96094,                 1.2961,                0.64549,                0.63647,                0.61249,                0.33276,                 1.5684,                 1.2658,                 1.6116,              0.0011884,              0.0011884,              0.0011884
                     31,                 1.2476,                 0.9194,                 1.2831,                0.65474,                 0.6825,                0.62444,                 0.3456,                 1.5523,                 1.2374,                 1.6195,              0.0011719,              0.0011719,              0.0011719
                     32,                 1.2461,                0.89163,                  1.276,                0.56207,                0.70025,                0.59654,                0.32446,                 1.5074,                 1.3336,                  1.584,              0.0011554,              0.0011554,              0.0011554
                     33,                   1.23,                0.92209,                 1.2953,                0.62854,                0.64441,                0.66211,                0.37703,                 1.4741,                 1.1427,                 1.5375,              0.0011389,              0.0011389,              0.0011389
                     34,                 1.1707,                0.87227,                 1.2643,                0.67516,                0.64074,                0.64688,                0.35604,                 1.5696,                 1.2028,                 1.6176,              0.0011224,              0.0011224,              0.0011224
                     35,                 1.1936,                 0.8901,                 1.2525,                 0.6663,                0.67493,                0.67244,                0.38163,                 1.5098,                 1.2652,                 1.5789,              0.0011059,              0.0011059,              0.0011059
                     36,                 1.1541,                0.82216,                 1.2444,                0.62458,                0.72219,                0.67678,                0.40145,                 1.4446,                 1.1554,                  1.557,              0.0010894,              0.0010894,              0.0010894
                     37,                 1.1837,                0.87021,                 1.2622,                0.60083,                0.74299,                0.67613,                0.37986,                  1.478,                 1.1201,                 1.5762,              0.0010729,              0.0010729,              0.0010729
                     38,                 1.1865,                0.86754,                 1.2442,                0.67305,                0.65044,                0.65536,                0.36491,                 1.5288,                 1.2508,                 1.5902,              0.0010564,              0.0010564,              0.0010564
                     39,                 1.1828,                0.83981,                 1.2605,                0.66548,                0.67355,                0.64598,                0.36966,                 1.5146,                 1.2853,                  1.596,              0.0010399,              0.0010399,              0.0010399
                     40,                 1.1284,                0.79779,                 1.2174,                0.65489,                 0.6289,                0.64568,                0.35383,                 1.5478,                 1.1678,                 1.6341,              0.0010234,              0.0010234,              0.0010234
                     41,                 1.1361,                0.81181,                 1.2266,                0.68817,                0.68916,                0.66512,                0.37279,                 1.5127,                 1.1506,                 1.6155,              0.0010069,              0.0010069,              0.0010069
                     42,                 1.0956,                0.77335,                 1.2052,                0.65238,                0.69126,                0.66387,                0.37954,                 1.4932,                 1.2773,                 1.5939,             0.00099036,             0.00099036,             0.00099036
                     43,                 1.1219,                0.78225,                 1.2101,                0.68142,                  0.657,                0.68396,                0.37438,                 1.5314,                 1.1613,                 1.6327,             0.00097386,             0.00097386,             0.00097386
                     44,                 1.1069,                0.76432,                 1.2081,                0.66886,                0.64995,                0.65368,                0.34358,                 1.5815,                  1.172,                 1.6827,             0.00095736,             0.00095736,             0.00095736
                     45,                 1.1241,                0.77579,                 1.2212,                0.70651,                0.67716,                0.68492,                0.39483,                 1.4564,                 1.1304,                 1.5439,             0.00094085,             0.00094085,             0.00094085
                     46,                 1.0576,                0.72273,                 1.1917,                0.70345,                0.67871,                0.69562,                0.39033,                 1.5079,                 1.1869,                 1.6212,             0.00092435,             0.00092435,             0.00092435
                     47,                 1.0726,                0.70077,                 1.1956,                0.73643,                0.64954,                0.69767,                0.39939,                 1.4747,                 1.0796,                 1.5655,             0.00090785,             0.00090785,             0.00090785
                     48,                 1.0636,                0.75197,                    1.2,                0.71213,                  0.636,                0.66677,                0.36063,                 1.6041,                 1.1829,                 1.6766,             0.00089134,             0.00089134,             0.00089134
                     49,                 1.0395,                0.69808,                 1.1832,                0.68516,                0.69995,                0.70625,                0.39574,                 1.5184,                 1.0901,                 1.6221,             0.00087484,             0.00087484,             0.00087484
                     50,                 1.0183,                0.68438,                 1.1572,                0.67718,                0.65068,                0.64092,                0.35665,                 1.6084,                 1.1767,                 1.7373,             0.00085834,             0.00085834,             0.00085834
                     51,                 1.0196,                0.69329,                 1.1695,                0.63885,                0.74072,                0.64436,                 0.3494,                 1.5523,                 1.1202,                 1.6905,             0.00084184,             0.00084184,             0.00084184
                     52,                 1.0257,                0.67922,                 1.1674,                0.65361,                0.69515,                0.67609,                0.37168,                 1.5578,                 1.1287,                  1.687,             0.00082533,             0.00082533,             0.00082533
                     53,                  1.039,                0.70078,                 1.1698,                0.65827,                 0.6273,                0.67422,                0.38196,                 1.5304,                 1.1503,                 1.6479,             0.00080883,             0.00080883,             0.00080883
                     54,                 1.0036,                 0.6555,                 1.1507,                0.71439,                0.64143,                 0.6827,                0.39582,                 1.5056,                 1.1139,                 1.6363,             0.00079233,             0.00079233,             0.00079233
                     55,                 1.0087,                0.68123,                 1.1523,                0.69508,                0.61913,                0.66303,                0.36838,                 1.5421,                 1.1044,                  1.636,             0.00077582,             0.00077582,             0.00077582
                     56,                0.99494,                0.66678,                 1.1397,                0.62388,                 0.7606,                0.70169,                0.39292,                 1.5548,                 1.0773,                 1.6799,             0.00075932,             0.00075932,             0.00075932
                     57,                0.97717,                0.64345,                 1.1328,                0.62218,                0.69727,                0.68199,                 0.4036,                 1.4665,                 1.2123,                 1.5779,             0.00074282,             0.00074282,             0.00074282
                     58,                 0.9273,                0.64899,                 1.1175,                0.65535,                0.64624,                0.66315,                0.37697,                 1.4677,                 1.1992,                 1.5639,             0.00072631,             0.00072631,             0.00072631
                     59,                0.95275,                0.64165,                 1.1034,                0.75827,                 0.6386,                0.69093,                0.40486,                 1.4902,                 1.1112,                  1.593,             0.00070981,             0.00070981,             0.00070981
                     60,                0.93034,                0.61391,                 1.1115,                0.69187,                 0.7074,                0.70696,                0.40153,                 1.5236,                 1.0834,                 1.6536,             0.00069331,             0.00069331,             0.00069331
                     61,                0.93318,                0.63056,                 1.1126,                0.65029,                0.71827,                0.68006,                0.38404,                 1.5422,                 1.0679,                 1.6483,              0.0006768,              0.0006768,              0.0006768
                     62,                0.92227,                0.59816,                 1.0891,                0.66341,                0.66157,                0.67778,                0.39483,                 1.5522,                 1.1256,                 1.6295,              0.0006603,              0.0006603,              0.0006603
                     63,                0.92833,                 0.6106,                  1.122,                0.73131,                 0.6474,                 0.6791,                0.39259,                 1.5363,                 1.1286,                 1.6269,              0.0006438,              0.0006438,              0.0006438
                     64,                0.90305,                0.61954,                 1.0861,                0.68729,                0.66351,                  0.697,                0.39631,                 1.5413,                 1.0915,                 1.6567,             0.00062729,             0.00062729,             0.00062729
                     65,                0.90008,                0.58817,                 1.0945,                0.71024,                0.66881,                0.71937,                0.41842,                 1.4851,                 1.1256,                 1.5995,             0.00061079,             0.00061079,             0.00061079
                     66,                 0.8831,                 0.5726,                 1.0706,                0.72578,                0.66055,                 0.7135,                0.40469,                 1.5304,                 1.1414,                 1.6455,             0.00059429,             0.00059429,             0.00059429
                     67,                0.85821,                 0.5823,                 1.0762,                0.78602,                0.62505,                0.70374,                0.41646,                 1.4862,                  1.146,                 1.6018,             0.00057778,             0.00057778,             0.00057778
                     68,                0.85829,                 0.5471,                 1.0764,                0.71945,                0.68191,                 0.7238,                0.42909,                 1.4868,                 1.1655,                 1.5944,             0.00056128,             0.00056128,             0.00056128
                     69,                0.83585,                0.54396,                 1.0585,                0.62549,                0.76444,                0.71569,                0.43025,                  1.456,                   1.12,                 1.6004,             0.00054478,             0.00054478,             0.00054478
                     70,                0.85022,                 0.5573,                 1.0677,                0.69683,                0.67739,                 0.6804,                0.39271,                 1.4823,                 1.1246,                 1.6116,             0.00052827,             0.00052827,             0.00052827
                     71,                0.85646,                 0.5615,                   1.08,                0.65925,                0.72258,                0.68954,                0.39552,                 1.4916,                 1.1491,                 1.6396,             0.00051177,             0.00051177,             0.00051177
                     72,                0.81716,                0.52435,                 1.0405,                0.65449,                 0.7133,                0.67586,                0.38428,                 1.5081,                  1.095,                 1.6494,             0.00049527,             0.00049527,             0.00049527
                     73,                0.79663,                0.53404,                 1.0323,                0.69492,                0.63434,                0.66942,                 0.3954,                 1.4831,                 1.1289,                 1.6318,             0.00047876,             0.00047876,             0.00047876
                     74,                0.82145,                0.52544,                 1.0449,                0.62276,                0.69349,                 0.6535,                0.38083,                 1.5235,                 1.2041,                 1.6682,             0.00046226,             0.00046226,             0.00046226
                     75,                0.78099,                0.51216,                 1.0367,                0.69259,                0.70508,                 0.6796,                0.38789,                 1.5125,                 1.1001,                 1.6584,             0.00044576,             0.00044576,             0.00044576
                     76,                0.81282,                0.54479,                 1.0417,                0.74306,                0.67212,                0.70095,                 0.3954,                 1.5071,                 1.0904,                 1.6703,             0.00042925,             0.00042925,             0.00042925
                     77,                0.78782,                0.49906,                  1.034,                0.72031,                0.68631,                0.69587,                0.39956,                 1.5284,                 1.1419,                 1.6746,             0.00041275,             0.00041275,             0.00041275
                     78,                0.77579,                0.51744,                 1.0269,                 0.7372,                0.67321,                0.71424,                0.41722,                 1.5051,                 1.1543,                 1.6515,             0.00039625,             0.00039625,             0.00039625
                     79,                0.77372,                0.51519,                 1.0276,                0.72271,                0.67913,                0.70986,                0.41193,                 1.4868,                   1.11,                 1.6456,             0.00037974,             0.00037974,             0.00037974
                     80,                0.76235,                0.48951,                 1.0093,                0.71583,                0.65291,                0.67682,                0.40284,                 1.5165,                 1.1874,                  1.684,             0.00036324,             0.00036324,             0.00036324
                     81,                0.70926,                0.46603,                0.99878,                0.73034,                0.63271,                0.68146,                0.40031,                 1.5203,                 1.1266,                  1.728,             0.00034674,             0.00034674,             0.00034674
                     82,                0.74277,                0.47471,                 1.0067,                 0.6533,                 0.7171,                  0.689,                0.40505,                 1.5211,                  1.116,                 1.7063,             0.00033023,             0.00033023,             0.00033023
                     83,                0.73941,                0.50025,                 1.0077,                0.63734,                 0.7205,                0.68399,                0.39564,                 1.4926,                 1.1128,                 1.6678,             0.00031373,             0.00031373,             0.00031373
                     84,                0.72024,                0.46632,                0.99728,                0.74003,                0.64872,                0.68522,                0.38477,                 1.4958,                 1.1362,                 1.6821,             0.00029723,             0.00029723,             0.00029723
