                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.631,                 2.7831,                 1.5201,                0.23357,                 0.3526,                0.18752,                0.09981,                 1.7274,                  4.474,                 1.8289,             0.00054641,             0.00054641,             0.00054641
                      2,                 1.6278,                 1.9832,                 1.5617,                0.01959,                0.16568,                0.01204,                0.00627,                 2.0408,                    inf,                 2.0928,              0.0010899,              0.0010899,              0.0010899
                      3,                 1.6376,                 1.9947,                 1.6118,                0.22626,                 0.3372,                0.25968,                0.13108,                  1.834,                 4.0072,                 1.9064,              0.0016213,              0.0016213,              0.0016213
                      4,                 1.5922,                  1.769,                 1.5463,                0.47472,                0.42537,                0.41886,                0.22163,                 1.5826,                   4.41,                 1.7551,               0.001612,               0.001612,               0.001612
                      5,                 1.5862,                 1.5946,                 1.5724,                0.51764,                0.54786,                 0.4987,                0.26127,                 1.6874,                 1.8056,                 1.7835,              0.0015937,              0.0015937,              0.0015937
                      6,                 1.5486,                 1.5063,                  1.592,                0.40048,                0.54277,                0.41997,                0.21135,                 1.6847,                 1.9511,                 1.8556,              0.0015753,              0.0015753,              0.0015753
                      7,                 1.5506,                 1.5227,                  1.589,                0.32327,                0.42128,                0.32901,                0.17732,                 1.6381,                 2.1176,                 1.7778,               0.001557,               0.001557,               0.001557
                      8,                 1.5354,                 1.4608,                 1.5374,                0.45482,                0.44673,                  0.399,                0.19989,                  1.797,                 1.9712,                 1.8741,              0.0015386,              0.0015386,              0.0015386
                      9,                 1.4976,                  1.478,                 1.5354,                0.44686,                 0.3557,                 0.3502,                0.17948,                 1.7385,                  2.087,                 1.8471,              0.0015203,              0.0015203,              0.0015203
                     10,                  1.497,                 1.3807,                 1.5237,                0.54905,                0.57104,                0.54296,                0.29509,                 1.6224,                 1.5212,                 1.7412,               0.001502,               0.001502,               0.001502
                     11,                 1.4632,                 1.3013,                 1.4755,                0.58504,                0.53334,                 0.5437,                0.29059,                 1.6676,                 1.5476,                 1.7825,              0.0014836,              0.0014836,              0.0014836
                     12,                 1.4896,                 1.3289,                 1.5033,                0.58446,                0.56169,                0.56195,                0.29168,                 1.6535,                 1.5653,                 1.7511,              0.0014653,              0.0014653,              0.0014653
                     13,                 1.4664,                  1.351,                 1.5093,                0.55768,                0.56265,                0.52855,                0.27124,                 1.5772,                 1.5703,                 1.6479,               0.001447,               0.001447,               0.001447
